Gene1,Gene2,Label
ORC4,CFLAR,shared
ORC4,ASTN2,shared
ORC4,ENOX1,shared
ENOX1,ABCC9,shared
ORC4,NEK11,shared
TMEM212,ORC4,shared
LPP,ABCC9,shared
MCFD2,ENTPD1,shared
ORC4,ODF2L,shared
RIC3,ORC4,shared
ORC4,CTSC,shared
PARP15,LPP,shared
SHISA9,ENOX1,shared
TMEM212,CFLAR,shared
ODF2L,CFLAR,shared
ZNF66,ASTN2,shared
ZNF66,LOC100652901,shared
ENOX1,CFLAR,shared
GOSR1,CFLAR,shared
ORC4,ABCC9,shared
ORC4,LINS1,shared
ZNF66,SCD5,shared
MAB21L3,ASTN2,shared
CTSC,CFLAR,shared
PARP15,ENOX1,shared
PHYHIPL,ORC4,shared
LPP,ENOX1,shared
TMEM212,ODF2L,shared
ZNF471,STXBP5L,shared
CFLAR,ASTN2,shared
PARP15,ABCC9,shared
RIC3,CFLAR,shared
TMEM212,ENOX1,shared
MYORG,MCFD2,shared
SCD5,ASTN2,shared
ZNF66,USP33,shared
ZNF66,STXBP5L,shared
ODF2L,ENOX1,shared
MYORG,ENTPD1,shared
TMEM212,ABCC9,shared
TRMT9B,LPP,shared
F5,ASTN2,shared
ENOX1,C12orf50,shared
SHISA9,ABCC9,shared
SHISA9,LPP,shared
XAF1,CFLAR,shared
RIC3,ENOX1,shared
ORC4,MAB21L3,shared
CFLAR,BBS5,shared
ORC4,LPP,shared
TMEM212,RIC3,shared
TRMT9B,PARP15,shared
TMEM212,SHISA9,shared
LPP,C12orf50,shared
GOSR1,BBS5,shared
CTSC,ASTN2,shared
SHISA9,PARP15,shared
L2HGDH,ABCC9,shared
NEK11,ENOX1,shared
PARP15,ORC4,shared
ZDHHC21,ORC4,shared
LINS1,ASTN2,shared
C12orf50,ABCC9,shared
ENOX1,DTNB,shared
SLC37A2,CES3,shared
ZNF519,ENTPD1,shared
TMEM212,PARP15,shared
FNIP2,ENOX1,shared
PHYHIPL,ASTN2,shared
MCFD2,ACADSB,shared
ODF2L,ABCC9,shared
ZNF69,ZNF66,shared
RIC3,ODF2L,shared
TMEM212,LPP,shared
SLC16A7,ABCC9,shared
LPP,FNIP2,shared
TOR1AIP2,ODF2L,shared
ENTPD1,ACADSB,shared
PARP15,ODF2L,shared
TSKU,MCFD2,shared
ZNF519,MCFD2,shared
DTNB,ABCC9,shared
ODF2L,LPP,shared
TMEM212,FNIP2,shared
