Gene1,Gene2,Label
Tmem245,Golm2,WT_specific
LOC115489397,Inpp1,AD_specific
Ccdc18,Asap2,Shared
Slc38a6,Sergef,Shared
Negr1,Meis2,WT_specific
Pi15,Pcdhb5,AD_specific
Rab2a,Mfap1a,AD_specific
LOC118568645,2610524H06Rik,Shared
Ikzf4,Clasp1,Shared
Naaladl1,Dclre1c,WT_specific
Dph5,Atp11a,AD_specific
Ccdc148,Atp11a,WT_specific
Nipal2,Crppa,AD_specific
Lrrtm4,Hbb-bh2,AD_specific
Mef2c,LOC118568339,WT_specific
Prdm9,Mysm1,WT_specific
Slc3a2,Csf2ra,WT_specific
Ubtfl1,Frem2,WT_specific
Ppp1r26,Hlcs,WT_specific
Vmn1r58,Gramd1b,Shared
Soat1,Ckap5,AD_specific
Gm46650,Ank2,AD_specific
LOC118567572,Gm51590,WT_specific
Zfp369,Cwf19l2,WT_specific
Sec24d,Gpc6,Shared
Zfp318,Celf2,WT_specific
Wdr33,Gm38510,AD_specific
Mettl2,Cby1,WT_specific
Iars2,Hfe,WT_specific
Zfp641,Hspb7,WT_specific
Sco1,Rrp1b,WT_specific
LOC118568337,Gm11127,Shared
Zfp444,Eepd1,WT_specific
Rab3c,Nkx2-1,Shared
Vmn1r58,3300002I08Rik,Shared
Slc12a8,Akap9,WT_specific
Pafah2,Nrp2,Shared
Kcnd2,Cdh7,AD_specific
Ncoa7,Kcnq5,Shared
Tacc1,Gm51691,AD_specific
Celf2,Ccdc18,WT_specific
Zfp697,Pde7b,WT_specific
Mafg,Lhx5,Shared
Ptgfrn,Akr1c20,WT_specific
Nr2e1,Gm32719,Shared
Gabra6,Fmn2,Shared
Cluap1,Cenpq,WT_specific
Nhsl1,Eif2ak2,WT_specific
Lhx9,Cd3d,WT_specific
Inhba,Atf1,WT_specific
Paox,Cdh19,WT_specific
Gabpb2,Dcun1d5,WT_specific
Zfp300,Mier2,AD_specific
Trdmt1,Dram2,AD_specific
Ttn,Tmem88b,WT_specific
Pi15,Ifnar1,Shared
Mre11a,Gm33989,AD_specific
Haus2,Gpc4,AD_specific
LOC118567505,Kdm7a,WT_specific
Nvl,Gm17415,AD_specific
Gm10476,9030624G23Rik,Shared
Pole4,Pde10a,WT_specific
Slc27a1,Rhag,WT_specific
Fnip2,Ap3b1,WT_specific
Ccdc60,2210408I21Rik,WT_specific
Tmem241,Dynlt1a,Shared
Gpr173,Csf2rb2,WT_specific
Ppfia2,Lemd1,WT_specific
Slc39a14,Bnc2,WT_specific
Fam172a,Cyp3a13,Shared
Tmem39b,Glod4,WT_specific
Pde10a,Apex2,Shared
Zbtb25,Tstd2,AD_specific
Psg16,Bcl2l15,Shared
Ppm1k,Phactr1,WT_specific
Pi15,Gjc3,Shared
Txnl4a,Rtbdn,WT_specific
Zmat4,Rpl27,Shared
Zfp369,Ube3a,WT_specific
Sorbs2,Jmjd1c,WT_specific
Trdmt1,Ap1s3,WT_specific
Harbi1,Akap10,AD_specific
Zfp316,Ppp4r1,WT_specific
Nrros,Nmnat2,WT_specific
Fmn2,Btbd9,AD_specific
Zfp248,Gnb4,WT_specific
Fmn2,Cog7,AD_specific
Gm20767,Cntn5,WT_specific
Rspry1,Foxj3,WT_specific
Nedd4l,Gna13,WT_specific
Zscan2,Lnx1,AD_specific
Rai1,Memo1,AD_specific
Tuba8,Akap6,WT_specific
Stxbp2,Spred2,AD_specific
Twnk,Gm10037,WT_specific
Miga1,Bicral,WT_specific
Zscan2,Flcn,WT_specific
Tpmt,H3f3c,AD_specific
Zbtb25,Fmnl2,AD_specific
Thra,Tcf4,Shared
Dlgap2,Disp3,WT_specific
Lrrc4c,Cxcr2,AD_specific
Tacc2,Cpsf2,AD_specific
Rxrg,Lrrc7,WT_specific
Slc6a2,Rab30,AD_specific
Zrsr2,Ubap1,WT_specific
Gm13770,Acox2,WT_specific
Tcf7l1,Mdfi,AD_specific
Zbtb25,Hhex,WT_specific
Med16,Cyp20a1,WT_specific
Nhs,Klhl15,WT_specific
Sox6,Rgs20,Shared
Col22a1,Acad9,WT_specific
Vmn1r148,Vmn1r131,Shared
Tbc1d23,Dhtkd1,Shared
Lrrc27,Ank2,AD_specific
Zfp316,Fam135b,WT_specific
Zfp488,Trim65,AD_specific
Zfp583,Tdrd3,AD_specific
Draxin,Bmp7,WT_specific
Slc1a2,Rcc1l,WT_specific
Zbtb25,Mettl16,WT_specific
Nphs1,Gp6,WT_specific
Exoc6b,Dnm3,AD_specific
Pwwp2a,Mcc,Shared
Pou2f1,Gm2004,AD_specific
Msx2,9930021J03Rik,WT_specific
Gm32719,4931406B18Rik,WT_specific
Stx4a,Gjc3,AD_specific
Arhgap21,A930009A15Rik,WT_specific
Hecw1,Cdh19,Shared
Vipr2,Frem2,Shared
Sp140,Ipp,AD_specific
Prorsd1,Gcnt7,WT_specific
Zfp799,Htr1d,AD_specific
Stk3,Cdh19,Shared
Mrpl4,Ikbip,AD_specific
Dmtf1,Btbd16,AD_specific
Spast,Smtnl2,WT_specific
Rfx4,Ctcfl,AD_specific
Nedd4l,Arl10,WT_specific
Tigd3,Cdkl1,AD_specific
Pgr,Gm29776,WT_specific
Lrrc69,Comt,WT_specific
Zfp940,Cnbd2,WT_specific
Zfp839,Exoc6b,AD_specific
Zfp433,Tox3,Shared
Zfp937,Chadl,Shared
Dennd1b,Ccdc85a,AD_specific
Mthfsd,Armc9,WT_specific
Slc25a38,Ermard,Shared
Spock2,Agpat4,AD_specific
Lhx5,LOC118568645,AD_specific
Kank2,Dvl3,Shared
Kcnip4,9930111J21Rik1,Shared
Dtwd2,Armc9,WT_specific
Get1,Cand2,WT_specific
Stard3nl,Dido1,WT_specific
Rexo5,Mterf1b,AD_specific
Homez,Bicral,WT_specific
Rlim,Cdc42,AD_specific
Gramd1b,Eepd1,AD_specific
Csnk2a1,Atrn,AD_specific
Olfr1393,Echdc1,WT_specific
Grip1,Celf2,Shared
Snx30,Atpsckmt,AD_specific
Khdrbs2,Hint3,WT_specific
Nkain3,Igsf9,WT_specific
Trpm3,Fmn2,WT_specific
Stoml3,Hivep2,AD_specific
Nav3,Btbd17,WT_specific
Pbx1,4930590J08Rik,WT_specific
Asap2,5830411N06Rik,WT_specific
Vti1a,Dzank1,WT_specific
Zfand4,Mroh6,WT_specific
Wdr59,Lgals12,WT_specific
Gnb1l,Cops7a,WT_specific
Ubtf,Lpp,WT_specific
Inpp1,Gm6902,WT_specific
Paox,Padi4,WT_specific
Cdyl2,C7,WT_specific
Tbc1d24,Slc38a6,WT_specific
Rab9b,Dctd,WT_specific
Sorcs2,Ebf1,WT_specific
Mcph1,Kcnj12,WT_specific
Lrrc8e,Commd1,Shared
Strbp,Chrna1,AD_specific
Zc3hav1,Ears2,WT_specific
Slc3a2,Ikbip,Shared
Nav2,Cog7,AD_specific
Tmem69,H2-DMa,WT_specific
Nhsl1,Cfap99,Shared
Hyal3,Camk4,WT_specific
Tlr7,Slc10a7,Shared
Zfp607b,Zfp420,AD_specific
Rint1,Ppp2r2b,WT_specific
Zfp996,Tcp11l1,WT_specific
