Gene1,Gene2,Read counts,In iPRINT_A,In iPRINT_B,In iPRINT_C,Read count_iPRINT_A,Read count_iPRINT_B,Read count_iPRINT_C
PNO1,P4HA2,29,1,1,1,5,2,22
MTSS1,MDM4,15,1,1,0,1,14,0
ZNF621,PMS1,74,0,1,0,0,74,0
RNF7,CECR2,27,1,1,0,26,1,0
SHCBP1,PACS2,81,0,0,1,0,0,81
COA7,AK3,49,1,1,0,48,1,0
SPECC1,PWWP2A,23,0,0,1,0,0,23
ADGRA3,ACADSB,18,1,1,1,6,8,4
SPECC1,CERS5,18,1,0,0,18,0,0
SLC16A7,GDAP2,22,0,0,1,0,0,22
PGBD1,ESR1,34,1,0,0,34,0,0
SLC35E2A,OXNAD1,14,0,1,0,0,14,0
MAP2K6,APOL6,23,0,0,1,0,0,23
UGGT1,NOL9,17,1,1,1,9,6,2
ZNF793,TRMT10B,111,1,0,1,6,0,105
NWD1,KYAT1,25,1,1,1,2,3,20
SLC35F5,NOL8,22,1,0,0,22,0,0
TYW1,ERICH1,19,0,1,0,0,19,0
UEVLD,MCF2L2,13,1,0,1,1,0,12
RNF14,GBP4,14,1,1,1,1,1,12
CYB5R3,CCL5,70,1,1,1,27,12,31
ITGAX,FGD3,38,1,0,0,38,0,0
TMTC1,B4GALT5,32,0,0,1,0,0,32
ZNF766,ZNF221,29,0,0,1,0,0,29
E2F2,BBIP1,27,1,0,0,27,0,0
PLEKHA2,FBLIM1,25,1,0,0,25,0,0
NUP43,BLOC1S6,13,0,1,1,0,12,1
CFLAR,ATAD3C,30,1,0,0,30,0,0
MDM4,LSMEM1,18,0,0,1,0,0,18
STK4,CLSPN,43,0,0,1,0,0,43
ZNF773,WWC1,15,0,1,0,0,15,0
XKR9,ATRN,75,1,1,1,29,23,23
RAB3B,PSTPIP2,15,1,0,0,15,0,0
SYN3,CCL5,30,1,1,0,27,3,0
MED18,CD82,24,1,0,0,24,0,0
MORC3,AMHR2,13,0,0,1,0,0,13
ZBTB43,VWA7,19,0,1,0,0,19,0
ZFP28,PRKN,56,1,1,1,13,28,15
LPP,CDKAL1,74,0,0,1,0,0,73
URGCP-MRPS24,ST6GAL2,19,0,0,1,0,0,19
UBE2E2,CD99,15,1,0,0,15,0,0
NCOR1,MARVELD2,17,1,0,1,2,0,15
TDRD12,KIAA0355,15,0,0,1,0,0,15
SUGP2,ELMOD1,57,1,1,0,56,1,0
NXPE1,CREG2,22,0,1,0,0,22,0
CYB5R3,ARMC9,18,1,1,1,16,1,1
YES1,KANSL1L,39,1,0,1,1,0,38
RAET1E,IL12RB1,22,0,1,0,0,22,0
MCCC2,LIMS1,30,1,0,0,30,0,0
SSBP2,ERLEC1,96,1,1,1,81,1,14
TCF7L1,C19orf54,38,1,1,0,1,37,0
FKTN,AP1S3,77,1,0,0,77,0,0
LOC105375106,CARMIL1,55,0,0,1,0,0,55
SUGP2,NCBP2,30,0,0,1,0,0,30
ZNF397,PDIK1L,24,1,0,1,1,0,23
LRRC27,ICA1L,18,1,0,1,17,0,1
NSUN6,CCDC57,19,1,0,0,19,0,0
PABPC1,GTF2H3,17,1,0,1,1,0,16
ZBTB8A,ABHD2,16,0,0,1,0,0,16
RBM3,LDLR,14,0,1,0,0,14,0
SHROOM1,MAP3K5,23,1,0,1,21,0,2
ZNF665,TMEM170A,64,1,0,0,64,0,0
ZNF662,RPS6KA3,17,1,0,0,17,0,0
ZNF544,MAP2K6,13,0,1,0,0,13,0
ZNF461,LPP,198,0,1,0,0,185,0
NME6,GOLGA3,80,1,1,0,79,1,0
RNASEH1,CBFA2T2,74,1,1,0,73,1,0
MPZL3,CCDC134,14,1,1,0,12,2,0
PPP2R1B,KBTBD12,22,1,1,0,8,14,0
XYLB,TERF1,34,0,0,1,0,0,34
SEMA3E,LDLR,13,1,0,1,3,0,10
TMEM136,DNAJC5G,31,1,1,0,2,29,0
UBE2E2,ARID4B,52,1,1,1,34,14,4
RBM47,FCAR,37,1,0,0,37,0,0
HOGA1,ETFBKMT,18,0,0,1,0,0,18
PHF20,PDE6A,70,1,1,1,1,1,68
SUGP2,FBXL20,16,1,1,0,1,15,0
WAC,ATL3,13,1,0,1,12,0,1
TPMT,CDC5L,13,1,0,0,13,0,0
GNB4,FCF1,15,1,1,1,8,4,3
GK5,ANXA11,13,0,1,0,0,13,0
TXNL4B,IFNAR1,13,0,0,1,0,0,13
PCDH11Y,GALNT6,56,1,0,0,56,0,0
TMEM209,EIF2AK2,24,1,0,0,24,0,0
ZNF620,PIGX,16,1,1,0,12,4,0
POU2AF1,ATP6V1A,39,1,1,0,2,37,0
C21orf62,ARSA,16,1,1,1,4,2,10
ZCCHC8,METTL16,18,0,0,1,0,0,18
TRIM66,FAM126B,59,0,0,1,0,0,59
PTPN2,DGKH,15,1,0,0,15,0,0
GLIPR1L2,EPPIN,155,1,1,1,79,43,33
SLC6A20,DPH5,15,1,0,0,15,0,0
ZNF347,PAQR7,40,1,0,0,40,0,0
UQCRB,DFFA,23,1,1,0,22,1,0
QTRT2,PHACTR4,48,1,1,1,40,7,1
LRRN4CL,KIAA1324,15,1,0,1,7,0,8
MDM2,MCTS1,23,1,1,0,8,15,0
FAM114A1,ATF6,25,0,1,0,0,25,0
NCBP2,DFFB,21,0,0,1,0,0,21
PTPN4,CPT1A,43,1,0,0,43,0,0
TTC26,MTX3,40,1,0,0,40,0,0
ENAH,DGKH,58,1,1,0,11,47,0
ZNF264,PHACTR4,40,1,1,1,37,2,1
SIX4,KIAA0319L,27,1,1,0,24,3,0
SIGLEC6,GNPTAB,27,0,0,1,0,0,27
ZSCAN31,FAM161B,19,1,0,0,19,0,0
SHCBP1,SEC14L4,15,1,1,1,1,3,11
ZFP64,PLCXD1,16,0,0,1,0,0,16
PTGIS,FBLIM1,13,1,1,0,1,12,0
L2HGDH,DNASE1L1,17,1,1,1,1,1,15
LOC105370733,CTSC,23,1,0,0,23,0,0
TRIP11,TMEM136,15,0,0,1,0,0,15
OR2F1,LRRC27,58,1,1,1,49,7,2
MMP19,AGL,19,1,0,0,19,0,0
PTAFR,CASP8,64,1,0,0,64,0,0
CHDH,CC2D2A,30,1,0,1,29,0,1
LIX1L,EPB41,29,1,0,0,26,0,0
TRMT2B,CEP89,71,1,1,0,55,15,0
VPS26C,RSPH3,25,0,0,1,0,0,25
GNAL,EFCAB6,29,0,0,1,0,0,29
NYAP2,ESYT2,20,1,1,0,3,17,0
TES,ARPIN,18,1,1,0,17,1,0
SIGLEC10,CD24,25,1,1,0,2,23,0
KIAA0355,BICC1,19,0,1,0,0,19,0
GTF2H3,CEBPZOS,39,1,0,0,39,0,0
LIG4,ABHD11,19,0,1,0,0,19,0
HDHD5,ANKUB1,14,0,1,0,0,14,0
ZNF506,PGPEP1,17,0,0,1,0,0,17
DNAJC21,BRIP1,14,1,1,1,4,8,2
OPRM1,MYOZ3,18,1,0,0,18,0,0
ZNF554,ACP6,21,1,1,1,14,1,6
RNF125,CD24,13,1,1,0,12,1,0
RLIM,GAS2L3,13,1,0,0,13,0,0
ZNF445,RNF41,32,1,1,1,5,1,26
NMT2,ATP13A3,25,1,0,0,25,0,0
USP15,NXPE3,21,0,1,0,0,21,0
SYAP1,KIF18B,13,0,1,0,0,13,0
ZNF461,PIP5K1C,13,1,0,0,13,0,0
ZNF766,CLNK,16,1,0,0,16,0,0
XRCC2,LACC1,74,1,1,1,39,28,7
RSPH3,POLH,24,1,0,1,23,0,1
GOLGA8O,GOLGA8J,15,1,0,0,15,0,0
CTSB,BDH1,15,1,0,0,15,0,0
GOSR1,APAF1,13,1,0,0,13,0,0
WDR17,USF3,31,0,0,1,0,0,31
