Gene1,Gene2,In_OWT,In_AD,read count_WT,read count_AD,Label
Zfp937,Il2ra,1,1,4,6,Shared
Tmem45b,2210408I21Rik,1,1,148,140,Shared
Zyg11b,Foxj3,1,1,0,2,AD_specific
Zfp369,Cwf19l2,1,1,37,0,WT_specific
Tmem63c,Casc1,1,1,8,24,Shared
Wnt4,Slc22a13,1,1,0,1,AD_specific
Mdga2,Il17ra,1,1,3,0,WT_specific
Spin1,Rapgef2,1,1,0,2,AD_specific
Spopl,Lnx1,1,1,2,10,Shared
Usf2,C1qtnf4,0,1,0,1,AD_specific
Rint1,Gm33989,1,1,0,5,AD_specific
D130037M23Rik,Atxn2l,1,1,1,0,WT_specific
Fgf13,Fcamr,1,1,1,2,Shared
Nbn,Asxl2,1,1,0,1,AD_specific
Ssbp2,Astn2,1,1,1,0,WT_specific
Lpl,Kirrel3,1,1,3,0,WT_specific
Tmem106c,Ranbp3l,1,1,0,4,AD_specific
Tnfrsf21,Kansl1l,1,1,1,0,WT_specific
Zbtb44,Gimap8,1,1,1,0,WT_specific
Tanc2,Lpl,1,1,1,4,Shared
Rab2a,Larp1b,1,1,1,0,WT_specific
Tor4a,Mdm4,0,1,0,4,AD_specific
Khdrbs2,Clec4a2,1,1,5,0,WT_specific
Zc3h18,Tnfrsf14,1,1,3,0,WT_specific
Dzip1l,B230219D22Rik,1,1,0,20,AD_specific
Gpc6,Gm14151,1,1,1,0,WT_specific
Ppp1r14c,Iars2,1,1,1,0,WT_specific
Rasgrp3,Dnmbp,1,1,0,1,AD_specific
Tmem88b,Elof1,1,1,1,0,WT_specific
LOC115488789,Dlg1,1,1,0,1,AD_specific
Rabgap1l,Mad1l1,1,1,0,4,AD_specific
Khdrbs2,Gm46935,1,0,2,0,WT_specific
Zdhhc17,0610030E20Rik,1,1,1,0,WT_specific
Jakmip2,Hnrnpd,1,1,1,4,Shared
Ttc28,Foxg1,1,1,1,0,WT_specific
Lipn,Gtpbp3,1,1,1,0,WT_specific
Tnfrsf10b,Ssbp2,1,1,3,0,WT_specific
Klhl41,Ccdc78,1,1,0,1,AD_specific
Egflam,Crx,1,1,1,4,Shared
Psme2b,Potegl,1,1,1,1,Shared
Gm2897,Ears2,1,1,0,3,AD_specific
Zfp433,Gpr34,1,0,1,0,WT_specific
Synj2bp,Cdh19,1,1,7,0,WT_specific
Snapc2,Gm31606,0,1,0,2,AD_specific
Rusc2,Rabgap1l,1,1,1,0,WT_specific
Gm52229,Cyb5r1,1,0,1,0,WT_specific
Tlr5,Smok2b,1,0,1,0,WT_specific
Utp23,Eef2k,1,1,0,1,AD_specific
Zdhhc8,Ascc1,1,1,0,1,AD_specific
Zfp950,Sox5,1,1,0,25,AD_specific
Tnfrsf14,Rpl17,1,1,0,8,AD_specific
Rab2a,Ankrd10,1,1,1,1,Shared
Cdc42bpb,Baalc,1,1,1,0,WT_specific
Tbc1d4,Chn2,1,1,0,1,AD_specific
Rasl11b,Gm31606,1,1,2,0,WT_specific
St6galnac3,Pde4b,1,1,11,25,Shared
Usp3,Tigar,1,1,0,2,AD_specific
Pde4b,Lhcgr,1,1,0,2,AD_specific
Slc16a14,Mfsd4a,1,1,1,0,WT_specific
Tmem45b,Mplkip,1,1,1,4,Shared
Tmco1,Arf3,1,1,1,0,WT_specific
Xpnpep1,N4bp2,1,1,0,23,AD_specific
Utp11,Paip2b,1,1,0,3,AD_specific
Tnfrsf10b,Mrpl27,1,1,0,1,AD_specific
Ppp4r1,Lix1,1,1,1,0,WT_specific
Syt12,Gm40353,1,1,1,0,WT_specific
Tedc1,Alox8,1,1,0,1,AD_specific
Zfp385c,Mfsd4a,1,1,0,2,AD_specific
